차종	도착시간(H:M:S)	일보는시간(s)
코튼	18:50:30	3528
세이버	14:38:06	7475
세이버	10:09:27	31139
코튼	12:59:25	27738
버스트	6:50:07	9092
세이버	19:57:00	851
솔리드	9:14:41	10190
마라톤	14:05:39	28752
세이버	17:03:25	5901
코튼	14:00:43	16114
버스트	12:16:56	29705
버스트	13:54:58	23266
솔리드	16:26:29	14417
버스트	21:08:05	1231
세이버	20:14:50	2731
버스트	13:19:23	6664
솔리드	22:27:44	10
마라톤	8:56:08	34464
세이버	6:50:56	41767
솔리드	14:31:13	18788
마라톤	10:31:47	33884
세이버	18:53:17	2256
솔리드	12:22:24	28535
솔리드	12:32:58	16073
코튼	18:07:16	12051
마라톤	14:51:27	8791
코튼	8:21:43	25948
솔리드	18:10:49	253
세이버	19:41:42	3929
마라톤	18:19:05	3563
솔리드	19:51:59	4317
솔리드	14:50:43	2954
마라톤	14:12:33	4820
세이버	8:32:33	36815
솔리드	10:19:27	1630
세이버	17:22:15	9627
코튼	16:46:45	10168
솔리드	12:38:58	5527
세이버	16:39:41	7480
솔리드	17:09:32	12022
버스트	7:47:43	47728
세이버	22:24:50	236
세이버	8:17:52	8054
코튼	19:23:22	3321
세이버	7:11:30	28459
세이버	6:40:56	26110
세이버	9:07:27	41053
버스트	15:31:17	19896
세이버	10:01:50	15014
세이버	21:05:39	3207
세이버	7:39:17	48848
솔리드	21:38:12	1233
솔리드	15:23:39	4481
마라톤	9:44:38	21960
버스트	18:27:12	8089
마라톤	6:43:42	5222
코튼	8:34:30	34777
솔리드	18:02:37	13284
코튼	17:06:38	14484
코튼	11:34:38	32726
세이버	17:16:27	10973
솔리드	14:39:22	9683
세이버	22:02:54	387
마라톤	17:50:30	7501
코튼	9:15:57	7578
세이버	9:39:59	40728
세이버	12:31:12	34720
솔리드	17:54:24	11634
솔리드	17:23:30	6609
세이버	19:13:12	4541
코튼	7:27:28	34990
버스트	18:07:25	15348
솔리드	16:55:20	3818
솔리드	14:35:16	2445
버스트	10:12:04	28312
솔리드	22:11:22	460
솔리드	15:09:32	25586
마라톤	10:38:38	36382
코튼	12:58:15	15630
버스트	12:08:28	24033
솔리드	14:37:08	2609
코튼	16:22:59	14680
솔리드	16:03:03	3831
세이버	16:35:26	20389
버스트	16:07:16	332
솔리드	13:14:11	23911
세이버	12:01:12	24170
코튼	8:15:40	13446
마라톤	16:05:54	13222
코튼	7:26:11	35597
코튼	10:40:59	9392
버스트	12:24:35	32186
버스트	15:39:15	7114
솔리드	10:09:12	6858
마라톤	18:49:14	8959
코튼	15:39:33	22306
세이버	15:30:56	13241
세이버	7:55:54	15504
버스트	17:59:00	4924
코튼	19:09:56	7240
마라톤	10:14:59	1789
세이버	20:20:03	7666
코튼	15:09:11	23549
세이버	21:26:39	226
마라톤	15:37:49	22322
코튼	15:47:06	20709
코튼	12:01:02	19370
솔리드	10:50:18	19608
버스트	7:17:11	5180
마라톤	15:41:12	3731
버스트	12:55:36	19758
버스트	8:40:10	44227
세이버	12:11:43	7253
코튼	11:30:39	3246
코튼	13:35:49	5273
세이버	8:20:09	10106
코튼	13:06:08	6067
버스트	12:57:53	24494
마라톤	16:30:55	16004
세이버	11:37:40	21116
솔리드	12:16:44	41
솔리드	19:39:39	3328
코튼	6:56:46	3372
버스트	8:45:34	18463
코튼	10:37:43	18181
세이버	8:20:55	29127
세이버	12:05:17	28460
마라톤	19:05:37	10215
버스트	19:15:37	9712
버스트	20:23:58	909
마라톤	19:27:08	5800
솔리드	21:47:25	827
세이버	10:06:17	23969
마라톤	13:25:22	21508
마라톤	12:05:46	2327
버스트	13:51:54	6163
코튼	7:05:59	2491
세이버	14:35:35	471
세이버	9:17:12	31940
코튼	11:19:17	25853
버스트	21:48:37	1324
세이버	9:33:43	12481
버스트	14:30:55	2456
솔리드	16:23:16	16872
코튼	9:36:06	25919
세이버	15:42:34	24040
마라톤	11:25:13	21373
코튼	10:43:36	20724
세이버	9:35:19	44439
버스트	17:43:11	1251
마라톤	12:30:34	27611
마라톤	6:50:05	22662
마라톤	8:32:55	810
솔리드	15:32:20	24091
버스트	21:04:18	935
버스트	16:13:22	20865
코튼	11:05:14	16014
마라톤	16:33:35	18130
마라톤	18:11:58	12954
버스트	15:53:17	17702
버스트	18:33:04	5648
솔리드	17:02:02	1341
마라톤	7:36:25	23922
마라톤	16:16:46	16918
버스트	15:31:08	13153
코튼	17:50:19	193
버스트	18:34:17	13448
코튼	8:16:44	9072
솔리드	8:04:52	24085
마라톤	15:20:42	15054
세이버	8:14:16	28892
버스트	15:06:49	19999
버스트	12:44:32	7270
버스트	6:33:54	12954
버스트	12:07:57	5074
버스트	13:03:02	5095
마라톤	11:41:04	24030
세이버	17:16:34	83
버스트	20:21:54	5668
버스트	14:21:01	16063
버스트	6:53:45	48653
버스트	21:14:11	886
솔리드	8:56:52	14350
솔리드	13:31:16	31161
코튼	6:51:01	43917
마라톤	17:16:38	1284
코튼	22:17:53	563
세이버	7:37:22	7797
코튼	20:02:17	3523
솔리드	19:10:34	7498
세이버	20:31:55	2989
세이버	18:26:51	2405
솔리드	16:59:44	1015
코튼	15:25:28	16834
솔리드	17:48:11	66
솔리드	7:41:59	25871
버스트	16:26:10	1151
버스트	19:18:37	4973
마라톤	13:25:44	7569
세이버	12:04:02	22760
버스트	18:14:25	12747
코튼	6:52:22	46028
마라톤	12:13:47	13050
코튼	8:39:36	25016
버스트	10:11:11	3533
세이버	16:07:57	972
코튼	16:55:56	4224
코튼	15:24:42	5158
마라톤	13:59:36	21326
마라톤	15:29:06	15417
솔리드	15:45:18	12624
마라톤	14:43:39	11271
솔리드	19:38:58	1858
마라톤	19:23:49	6271
세이버	21:41:48	1400
솔리드	15:50:36	17018
세이버	14:26:58	3626
솔리드	13:46:57	1646
마라톤	8:00:14	51176
솔리드	15:54:13	9464
세이버	10:00:48	4267
마라톤	14:03:31	18303
버스트	7:04:20	1925
세이버	11:15:17	23920
코튼	9:31:18	27456
버스트	7:28:08	6967
마라톤	16:01:53	13251
코튼	10:39:49	29337
버스트	21:54:01	1037
솔리드	15:22:34	21435
마라톤	15:05:29	1018
솔리드	21:12:43	1991
버스트	8:26:19	7939
버스트	19:42:03	2306
버스트	20:45:18	3778
솔리드	13:53:00	10335
솔리드	19:27:56	69
솔리드	18:54:18	4341
마라톤	7:26:47	51520
세이버	14:09:43	24403
버스트	19:15:21	8672
세이버	16:39:35	17193
버스트	12:10:31	29782
코튼	18:29:50	9613
세이버	9:37:05	14117
솔리드	7:04:00	40294
버스트	17:56:23	10358
코튼	15:34:31	24397
마라톤	8:45:13	5060
버스트	14:52:56	1332
세이버	21:11:06	3800
솔리드	21:42:05	1461
세이버	19:10:26	10157
세이버	16:04:49	20281
코튼	16:20:05	6153
세이버	11:51:25	1648
코튼	13:50:06	17945
세이버	12:26:57	17605
솔리드	15:45:32	21609
세이버	7:49:14	14202
마라톤	18:05:51	6001
코튼	19:34:50	6234
버스트	14:38:57	23212
버스트	20:54:05	4102
솔리드	15:47:20	9614
버스트	19:34:55	10190
코튼	13:31:21	5068
세이버	12:33:28	4414
마라톤	21:16:22	3792
버스트	6:49:17	41880
버스트	10:35:50	25001
코튼	17:14:29	17420
마라톤	21:11:36	3028
코튼	14:40:07	20545
코튼	8:57:14	38058
버스트	10:06:15	36039
솔리드	7:10:09	48373
마라톤	17:27:35	14039
버스트	18:31:45	11907
마라톤	17:05:14	5688
코튼	18:20:18	9024
솔리드	6:54:32	4834
마라톤	13:43:55	25077
마라톤	10:04:22	6388
마라톤	15:55:39	8993
마라톤	7:51:20	47295
마라톤	19:39:25	1487
버스트	6:38:34	29645
버스트	8:49:48	42331
마라톤	21:07:19	2835
솔리드	17:15:48	7735
버스트	15:25:51	17091
세이버	8:23:31	22668
코튼	15:12:51	17549
마라톤	17:06:44	4959
솔리드	10:49:13	39369
솔리드	7:39:51	26416
솔리드	17:52:14	6012
솔리드	19:14:36	11015
버스트	15:34:27	3118
마라톤	17:54:11	10533
세이버	21:21:13	305
버스트	22:26:38	102
마라톤	16:18:01	7147
세이버	19:48:59	3424
세이버	18:36:09	2604
세이버	9:57:00	11068
버스트	18:45:38	8518
솔리드	6:42:05	9589
솔리드	20:06:08	7261
코튼	19:36:26	3940
세이버	6:38:46	7318
코튼	16:40:01	20828
세이버	16:03:37	941
솔리드	11:00:09	33711
세이버	19:56:30	4092
솔리드	20:41:33	4236
세이버	8:32:11	20732
코튼	11:50:51	97
코튼	15:02:59	18314
마라톤	10:49:58	27366
마라톤	22:02:10	1543
코튼	12:52:51	4816
